ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,target,prediction,prediction_proba
5063,C,Road,6,2,140,2,high,1,4053,0,M,F,0.485
10350,F,Ship,4,4,185,3,low,2,5288,1,F,F,0.425
1277,C,Ship,5,3,169,4,medium,37,1290,1,F,F,0.47
2999,C,Road,5,1,271,4,low,4,2718,1,F,M,0.56
4763,C,Ship,4,1,149,3,medium,8,1136,0,F,M,0.51
5590,B,Ship,4,5,257,2,low,3,5394,0,M,M,0.565
4736,F,Ship,3,4,211,3,high,8,5191,1,M,F,0.435
376,B,Ship,3,5,262,2,low,53,3275,1,F,F,0.37
7433,C,Ship,5,2,254,2,low,5,4985,1,F,M,0.56
8224,B,Flight,3,4,140,3,low,3,5300,0,M,M,0.605
10937,C,Road,5,3,257,5,medium,8,1981,1,M,F,0.47
3084,F,Ship,4,2,169,2,low,22,1322,1,M,M,0.555
10694,F,Flight,4,3,261,10,low,6,4347,1,F,F,0.5
1229,C,Flight,6,1,136,3,high,12,1592,1,M,F,0.465
9489,A,Ship,3,3,203,3,medium,4,5548,0,F,M,0.51
4304,F,Ship,4,3,175,4,medium,5,5177,1,F,F,0.48
10076,F,Ship,4,4,221,4,low,2,5595,1,F,M,0.525
5327,C,Road,6,1,250,3,low,5,5621,1,M,F,0.48
3722,F,Ship,5,2,230,4,low,4,4782,1,F,M,0.555
7116,F,Road,3,1,199,3,medium,7,4377,1,F,M,0.595
8257,D,Ship,5,3,252,5,low,2,1312,1,M,F,0.43
9802,B,Ship,3,5,192,4,medium,7,4741,1,F,F,0.37
5279,C,Ship,6,4,298,4,medium,9,1629,0,M,M,0.565
2593,D,Road,4,1,190,3,low,32,2774,1,F,F,0.475
2831,C,Ship,4,5,198,3,medium,33,2129,1,M,F,0.44
8122,B,Ship,4,2,197,2,medium,3,4715,1,M,M,0.53
2041,D,Road,5,3,110,5,low,21,1011,1,M,M,0.52
1348,B,Road,3,5,264,6,low,30,2751,1,M,F,0.415
2692,B,Ship,5,5,133,2,low,18,1134,1,F,F,0.455
10873,D,Ship,3,4,177,2,medium,3,4240,1,M,F,0.5
8016,F,Ship,5,4,256,5,low,6,1551,0,M,M,0.54
9676,B,Ship,7,2,277,5,low,1,1700,1,F,M,0.645
9755,C,Ship,4,5,143,3,medium,2,5286,1,M,M,0.505
3622,B,Ship,3,3,148,3,low,1,5700,0,M,F,0.48
2733,A,Road,4,4,235,3,low,17,3715,1,F,F,0.495
818,F,Flight,5,2,247,3,low,32,3645,1,M,M,0.515
2372,F,Ship,4,5,152,3,medium,25,1222,1,M,F,0.45
10888,B,Ship,4,1,275,3,medium,7,5382,1,F,M,0.545
5523,A,Ship,4,2,133,3,low,2,1212,1,M,F,0.455
505,D,Ship,5,3,162,2,low,14,1045,1,F,M,0.545
6674,F,Ship,4,2,232,3,medium,7,5737,1,F,F,0.445
8807,C,Ship,5,2,258,3,medium,8,4921,0,F,M,0.54
1982,F,Ship,4,2,176,3,medium,12,1750,1,F,M,0.545
9389,C,Ship,6,3,141,3,low,7,5222,1,M,F,0.325
5895,A,Flight,4,3,142,2,low,5,5502,1,F,M,0.675
9840,F,Road,4,4,224,2,low,3,4817,0,F,M,0.505
10204,B,Ship,5,1,245,5,low,9,1694,1,M,F,0.35
10778,F,Ship,5,5,263,5,medium,1,1114,1,F,F,0.39
7414,B,Flight,5,4,245,5,low,5,1293,1,F,F,0.43
10633,D,Ship,2,3,273,4,low,3,5079,0,M,F,0.49
9046,B,Flight,4,2,199,3,low,4,4070,0,M,M,0.52
7683,A,Flight,5,2,241,2,medium,9,4965,0,M,M,0.55
5821,D,Ship,3,1,192,3,low,4,5179,0,F,F,0.455
4188,F,Ship,4,4,206,3,medium,10,4262,0,F,F,0.405
10856,F,Ship,3,3,198,2,low,7,4996,1,M,M,0.585
7202,F,Ship,6,1,272,4,medium,10,1534,1,M,M,0.61
4521,A,Flight,4,4,223,4,low,3,5613,0,M,F,0.435
7643,C,Ship,5,2,134,4,low,5,5090,0,M,F,0.485
3007,D,Road,5,4,269,3,medium,15,2522,1,M,F,0.365
5076,F,Flight,3,1,197,5,medium,6,5919,0,F,F,0.455
5235,A,Ship,5,5,271,4,high,10,4305,1,M,F,0.495
5699,C,Ship,3,4,247,3,low,9,4157,0,F,M,0.535
5374,B,Ship,3,3,254,2,medium,8,4890,1,M,F,0.495
6582,F,Flight,5,3,248,5,low,7,1475,1,F,F,0.49
8418,F,Ship,3,1,202,2,medium,7,4598,0,M,F,0.465
5093,C,Ship,3,5,217,2,medium,6,5182,0,F,F,0.395
9360,F,Ship,4,5,274,5,low,7,1225,0,M,M,0.58
878,F,Ship,4,1,222,3,medium,25,2582,1,M,F,0.46
8017,D,Ship,6,5,264,4,medium,8,1755,0,M,F,0.47
5482,B,Flight,3,5,162,3,medium,1,4480,0,M,M,0.505
1329,A,Ship,5,1,201,3,medium,65,2488,1,F,F,0.4
8920,B,Flight,4,4,248,5,medium,2,1651,0,M,M,0.635
8573,C,Ship,4,4,234,2,medium,8,5744,0,F,M,0.525
9350,F,Ship,7,5,255,4,low,2,1826,1,F,M,0.555
1878,F,Ship,2,2,274,3,high,60,2053,1,F,F,0.49
2067,A,Flight,3,1,139,3,high,6,1269,1,F,M,0.595
6866,F,Flight,6,3,266,4,low,9,1876,0,F,M,0.505
6998,F,Flight,3,2,215,4,low,3,4042,0,F,F,0.45
10226,F,Ship,4,2,242,6,low,10,1531,1,F,M,0.535
3507,A,Ship,4,3,192,3,medium,10,4086,1,F,F,0.465
1322,F,Ship,3,1,191,3,low,4,3947,1,F,M,0.62
8005,D,Ship,6,4,293,4,low,8,1145,1,F,F,0.335
8862,F,Ship,6,3,260,4,low,1,1775,0,F,F,0.48
8205,A,Road,3,4,163,3,medium,5,5088,1,M,M,0.51
6865,D,Flight,4,3,255,5,low,1,1192,0,M,M,0.57
8781,A,Flight,5,5,185,5,low,5,4078,0,M,M,0.51
9580,B,Road,4,5,176,3,high,1,5096,1,F,F,0.405
9381,A,Ship,5,2,194,4,low,8,5650,1,M,M,0.57
6622,B,Ship,4,5,234,3,low,4,5100,1,F,F,0.38
766,B,Ship,4,2,259,4,low,13,2495,1,F,F,0.465
6427,D,Road,5,1,187,2,low,7,4792,0,F,F,0.5
1526,F,Ship,3,2,141,3,medium,41,1801,1,F,F,0.29
2463,A,Flight,5,2,224,4,medium,43,2336,1,M,F,0.5
9712,B,Road,4,5,217,5,low,3,1572,1,F,F,0.48
3307,D,Ship,4,3,223,3,medium,9,5897,0,F,M,0.545
3601,D,Ship,3,4,245,10,medium,1,5363,0,M,M,0.55
4314,F,Ship,3,4,170,7,low,7,4957,1,M,F,0.365
6847,D,Flight,4,2,250,3,low,5,4488,1,M,F,0.415
2475,A,Flight,3,4,212,3,medium,13,2307,1,F,M,0.7
1193,C,Ship,4,4,246,2,low,11,2282,1,M,F,0.445
1620,F,Road,4,1,167,3,low,10,1616,1,F,M,0.61
5316,F,Ship,3,1,219,3,medium,6,4893,1,M,M,0.555
4941,A,Flight,3,5,251,3,high,4,4156,1,F,M,0.68
5162,F,Ship,4,3,130,3,medium,3,4317,0,F,F,0.48
6653,C,Ship,3,4,235,2,low,10,4575,0,F,M,0.55
8849,C,Ship,4,3,263,3,medium,3,4677,0,M,M,0.555
5942,F,Ship,4,2,244,3,high,1,5559,1,M,F,0.44
8158,B,Ship,4,5,101,6,medium,8,4146,0,M,F,0.45
7319,C,Ship,5,2,158,3,medium,2,5221,0,M,M,0.55
7543,D,Flight,6,3,226,3,high,4,4604,1,F,M,0.51
3552,F,Road,6,1,163,4,high,3,4031,1,M,M,0.545
4586,F,Ship,3,4,228,3,medium,8,5419,0,F,F,0.38
9947,C,Ship,7,3,262,4,low,1,1384,1,F,M,0.545
9144,F,Ship,5,2,140,5,medium,2,1521,0,M,M,0.515
8733,A,Ship,6,4,268,4,medium,5,4126,1,M,M,0.515
6098,F,Ship,3,5,160,3,low,8,4106,0,F,F,0.405
9737,C,Flight,4,2,111,2,high,4,5393,0,F,M,0.545
4321,D,Ship,4,3,258,3,high,1,4653,0,F,F,0.425
9284,F,Ship,3,4,185,2,medium,5,4574,0,M,F,0.41
5552,F,Ship,3,5,253,3,medium,9,5979,1,M,F,0.45
10191,A,Ship,5,5,235,5,low,8,1332,1,M,M,0.63
5197,D,Road,3,3,259,3,medium,5,4664,0,F,F,0.48
5254,B,Ship,6,4,275,4,low,10,1266,1,M,F,0.42
3772,B,Ship,2,2,203,4,medium,10,5764,0,M,F,0.48
9739,D,Flight,4,1,161,3,low,1,4789,0,M,M,0.51
5426,F,Ship,4,4,200,4,low,3,5583,1,F,F,0.47
8353,D,Flight,6,5,302,4,low,7,1592,0,F,M,0.54
3683,C,Road,5,5,174,3,high,9,5969,1,F,F,0.395
6831,A,Road,7,1,275,4,medium,7,1754,0,M,M,0.62
3288,F,Flight,3,1,135,3,low,9,4511,0,M,M,0.685
5074,B,Flight,3,1,203,2,low,2,4647,1,M,M,0.525
5581,D,Ship,3,1,221,4,medium,8,5971,0,F,F,0.44
9041,C,Flight,5,1,158,4,medium,4,5687,1,F,M,0.595
2536,B,Ship,2,1,229,4,low,11,3614,1,F,M,0.585
7659,A,Road,5,3,216,10,medium,4,4409,1,M,F,0.375
1203,A,Ship,4,4,237,2,medium,21,1495,1,M,F,0.44
5399,C,Ship,4,3,279,6,medium,2,5405,0,M,M,0.55
1573,D,Ship,2,1,252,3,low,12,2800,1,F,M,0.62
5675,C,Ship,3,5,141,3,medium,10,5775,0,M,F,0.5
1464,F,Ship,4,3,170,2,medium,33,1980,1,F,F,0.385
9385,D,Ship,4,1,184,7,medium,6,4956,0,F,F,0.48
1011,A,Ship,2,5,228,2,low,49,3024,1,F,F,0.41
9200,F,Ship,4,1,240,4,low,10,5965,1,M,F,0.445
6717,A,Flight,3,5,260,3,medium,7,5379,1,M,F,0.47
7492,B,Ship,4,2,248,6,low,1,1415,1,M,M,0.57
8118,F,Ship,3,1,142,3,medium,10,4915,1,F,M,0.75
5927,C,Ship,6,3,202,3,low,5,4930,0,F,F,0.385
5524,B,Ship,4,1,218,5,low,5,1238,0,F,M,0.53
5091,A,Ship,4,4,168,3,low,6,5488,1,M,M,0.58
7216,B,Ship,6,2,254,5,low,7,1638,1,M,F,0.395
5253,A,Ship,6,5,293,5,low,1,1278,0,F,M,0.66
4589,C,Ship,3,4,166,3,medium,8,4369,1,F,F,0.38
6756,F,Ship,2,5,189,3,low,5,5320,0,F,M,0.54
3136,B,Road,6,5,141,3,medium,8,5031,0,M,M,0.64
5431,D,Ship,5,3,195,4,low,9,5577,0,F,M,0.62
8066,F,Road,2,3,133,4,low,5,5989,1,F,F,0.425
7409,C,Flight,5,2,255,5,medium,4,1634,0,M,M,0.63
6631,D,Ship,3,3,145,3,medium,8,4522,0,F,M,0.565
1162,B,Ship,5,2,167,8,low,28,1921,1,M,M,0.515
1396,B,Ship,4,2,158,4,low,45,1758,1,F,M,0.54
2843,C,Ship,5,5,172,2,medium,40,1446,1,F,F,0.42
8600,F,Ship,4,1,232,5,medium,8,1943,0,M,M,0.655
84,F,Ship,5,5,162,3,high,31,1364,1,F,F,0.49
10943,C,Road,5,1,219,6,low,2,1650,1,F,F,0.465
7036,B,Ship,2,1,219,4,low,6,5124,0,M,F,0.35
2328,F,Flight,4,4,282,6,medium,52,3009,1,F,F,0.455
2782,B,Ship,4,4,138,7,medium,65,1530,1,M,M,0.505
1120,B,Ship,4,1,172,2,low,48,1993,1,M,F,0.49
8806,B,Ship,3,1,176,2,medium,4,5726,0,F,M,0.57
10579,D,Ship,4,4,160,3,low,1,4770,0,M,M,0.7
5599,D,Road,4,2,245,3,medium,2,4835,1,F,M,0.555
10454,F,Ship,4,3,259,5,medium,2,1574,0,M,F,0.435
1910,F,Road,4,4,224,3,low,29,3623,1,M,M,0.55
10549,D,Flight,3,4,199,3,medium,10,4925,1,M,M,0.53
10127,C,Road,6,4,286,4,medium,5,4262,0,F,M,0.56
5222,F,Flight,6,5,256,5,low,10,1686,0,M,M,0.645
2281,D,Ship,4,4,223,10,low,24,3271,1,M,M,0.525
10519,D,Ship,3,2,198,2,medium,8,5889,0,M,M,0.64
8190,F,Ship,3,1,259,2,low,3,4380,0,F,F,0.495
4175,C,Ship,6,1,215,5,medium,5,4362,0,F,M,0.545
4503,A,Road,4,5,148,8,medium,6,5700,0,M,F,0.425
6072,F,Ship,3,4,257,5,medium,5,5365,0,F,F,0.43
2951,C,Ship,6,1,236,4,low,10,2030,1,F,F,0.41
8035,D,Ship,7,2,289,5,low,1,1178,0,M,F,0.495
8602,B,Ship,4,5,228,5,low,5,1373,1,M,F,0.375
9913,D,Ship,6,1,268,4,medium,10,1958,0,M,F,0.375
1527,A,Ship,3,1,230,2,medium,28,3646,1,M,F,0.43
3982,B,Flight,4,2,173,3,medium,1,5128,0,F,M,0.61
10626,F,Ship,3,2,228,2,medium,2,5640,0,M,F,0.48
7076,F,Ship,4,3,245,4,medium,8,5982,1,M,M,0.51
1186,B,Ship,2,3,176,5,low,29,1254,1,M,F,0.445
3729,A,Ship,5,2,181,3,low,7,5875,0,M,M,0.755
3074,F,Ship,5,3,270,3,medium,38,3669,1,M,F,0.445
1803,A,Ship,3,5,249,2,low,26,2029,1,F,M,0.515
6376,B,Ship,4,5,197,2,low,3,4379,1,M,F,0.495
2919,A,Ship,3,5,252,3,low,18,3701,1,M,F,0.47
7198,B,Ship,4,3,150,4,low,4,1021,0,F,F,0.45
10157,C,Ship,4,4,243,3,high,4,5082,1,F,F,0.395
8324,F,Ship,5,1,267,5,medium,3,1194,1,F,M,0.555
1940,F,Ship,3,1,215,2,low,47,3678,1,F,F,0.435
2769,A,Ship,4,2,171,3,low,34,1352,1,M,M,0.53
10337,C,Ship,3,3,214,3,medium,3,4056,1,M,F,0.445
6241,D,Ship,5,4,280,4,low,10,5156,0,M,F,0.45
4135,D,Ship,4,1,193,4,low,4,4796,0,F,M,0.56
3356,F,Ship,2,4,162,3,high,2,5893,1,F,M,0.675
8926,B,Ship,7,1,258,4,low,3,1482,0,F,M,0.575
593,C,Ship,3,2,260,3,medium,2,2176,1,F,M,0.555
1601,C,Ship,4,5,213,3,medium,42,3121,1,F,F,0.42
8640,F,Flight,4,3,245,5,low,4,1470,0,M,M,0.505
6515,C,Ship,4,1,246,6,low,6,1335,1,F,M,0.625
2151,A,Ship,4,3,214,2,low,57,2078,1,M,M,0.51
10845,A,Ship,5,2,150,3,medium,7,5980,0,F,M,0.59
6024,F,Flight,5,5,238,5,low,2,1657,0,M,M,0.51
2628,F,Ship,4,5,228,2,low,63,3401,1,M,F,0.43
2395,D,Ship,4,5,227,3,low,65,3984,1,M,M,0.505
3954,F,Road,6,4,253,2,low,9,5972,0,F,F,0.485
9544,B,Ship,3,5,247,3,medium,7,4966,0,F,F,0.48
8146,B,Ship,5,2,284,4,low,1,4171,1,M,M,0.635
291,A,Flight,4,4,270,3,low,12,3279,1,M,M,0.61
3141,A,Road,3,3,256,4,medium,3,4732,0,M,M,0.545
9013,D,Ship,5,2,141,2,medium,1,4287,0,F,F,0.465
230,F,Ship,3,3,162,7,medium,42,1278,1,F,F,0.35
1230,F,Flight,3,2,119,2,low,32,1791,1,M,F,0.33
2468,F,Flight,5,1,170,3,medium,48,1299,1,F,M,0.575
6548,F,Ship,6,2,251,4,medium,6,1864,0,F,M,0.54
2134,B,Ship,3,3,186,3,medium,49,2356,1,M,F,0.47
7097,C,Ship,4,1,153,3,low,8,5198,0,F,M,0.55
6486,F,Ship,3,4,260,4,medium,10,5425,0,M,F,0.435
6716,F,Flight,6,4,221,5,medium,8,4511,1,M,M,0.6
10003,D,Flight,4,4,153,3,medium,3,4422,1,M,F,0.38
6304,B,Flight,6,5,301,4,low,3,1958,0,F,F,0.485
1649,C,Flight,3,5,121,3,low,10,1701,1,F,F,0.37
9619,D,Ship,5,3,192,7,medium,10,5976,0,M,M,0.52
7789,D,Road,6,1,188,5,low,4,4887,0,M,F,0.39
4723,D,Ship,3,2,191,2,medium,7,5357,0,M,F,0.475
10030,B,Ship,3,4,239,4,medium,10,5455,1,F,F,0.43
4840,B,Ship,4,3,155,3,low,1,4360,1,F,M,0.67
10554,F,Flight,6,3,178,5,low,5,4567,0,F,M,0.54
9640,B,Ship,5,4,191,3,high,7,4435,1,F,F,0.29
10052,F,Ship,6,1,113,2,medium,7,5234,1,F,F,0.415
7652,F,Road,5,2,233,4,medium,9,5539,0,F,F,0.365
2638,B,Ship,3,1,254,4,low,33,2542,1,F,M,0.535
9766,B,Ship,4,4,155,2,medium,6,5942,0,F,M,0.515
480,F,Ship,3,5,179,5,low,56,1113,1,M,F,0.39
392,F,Road,4,1,178,3,medium,63,1573,1,F,F,0.49
4718,F,Ship,3,2,279,3,medium,6,4560,0,F,F,0.475
6535,D,Ship,4,5,242,2,low,4,5341,0,M,F,0.5
5498,F,Ship,4,4,146,3,low,10,4472,1,M,F,0.435
5709,A,Ship,3,2,174,3,low,3,4132,0,M,F,0.345
3339,A,Ship,3,4,255,2,medium,7,4332,1,F,M,0.545
1099,D,Flight,4,2,181,2,low,28,2815,1,F,M,0.565
7188,F,Ship,5,3,256,5,medium,5,1080,1,M,M,0.545
1517,C,Flight,3,5,182,3,medium,34,3595,1,M,F,0.425
3679,D,Road,3,3,158,3,low,2,5205,1,F,M,0.525
9854,F,Road,4,3,250,6,medium,2,4246,0,M,M,0.515
4730,F,Ship,5,3,251,2,low,9,4458,0,M,F,0.27
8474,F,Road,3,2,257,3,medium,2,5486,1,M,F,0.465
2925,A,Ship,2,2,152,4,low,48,1212,1,F,M,0.515
7816,B,Flight,3,2,261,2,medium,10,4035,0,M,F,0.395
10014,F,Flight,4,1,266,3,low,10,4382,0,M,F,0.425
6212,F,Ship,5,4,241,2,medium,7,4413,0,F,F,0.39
6030,F,Flight,4,2,245,5,low,8,1122,1,M,F,0.475
8884,B,Road,5,3,270,5,medium,9,1764,1,M,F,0.275
10772,F,Ship,4,1,250,6,medium,7,1292,0,F,M,0.54
143,C,Flight,5,5,162,3,low,41,1462,1,M,M,0.62
1114,B,Ship,3,2,203,3,high,3,2791,1,M,M,0.59
10730,F,Ship,5,4,232,5,medium,5,1861,0,M,F,0.395
5220,F,Flight,7,5,310,4,low,5,1975,0,F,M,0.535
7569,A,Ship,3,3,202,4,low,3,4003,1,F,F,0.39
4809,A,Flight,2,4,151,4,low,6,1803,0,F,M,0.54
3148,B,Flight,4,2,272,3,high,6,4559,0,F,M,0.6
10395,A,Road,4,1,170,10,medium,3,5211,1,F,F,0.355
5434,B,Ship,3,5,212,4,low,9,5791,0,F,M,0.55
6059,C,Ship,3,4,163,3,low,7,5913,0,M,F,0.42
3403,D,Road,5,1,180,3,low,2,5013,1,F,F,0.48
16,B,Flight,4,3,227,3,low,45,2707,1,F,M,0.525
4089,A,Road,3,3,218,4,medium,4,1678,1,F,M,0.515
9981,A,Road,4,3,227,3,medium,8,5829,1,M,M,0.53
10399,D,Road,4,4,146,10,low,3,4152,1,F,F,0.46
10083,A,Ship,3,4,164,2,low,1,4067,1,M,M,0.55
7339,D,Ship,2,5,270,6,medium,1,5675,0,F,M,0.63
7890,F,Ship,3,5,230,4,low,5,4450,1,F,F,0.5
8987,C,Ship,4,3,146,3,medium,10,5372,0,F,M,0.505
5318,F,Road,3,5,232,2,high,8,5146,0,F,F,0.44
10292,F,Flight,4,1,146,3,low,1,4831,1,F,M,0.575
10842,F,Ship,3,5,169,2,medium,4,4466,1,F,F,0.385
5496,F,Flight,2,2,225,7,high,9,4947,1,M,M,0.59
5064,F,Road,4,2,209,2,medium,9,5131,0,F,F,0.45
3419,C,Road,4,4,266,3,medium,2,5413,1,F,F,0.485
6547,D,Ship,6,3,287,4,medium,8,1850,1,F,F,0.485
6699,A,Road,4,5,139,2,medium,1,4606,0,F,F,0.415
3308,F,Ship,5,3,154,2,medium,8,4006,0,M,M,0.575
5829,A,Ship,3,3,261,4,low,9,4529,1,F,F,0.44
2585,C,Road,2,2,285,2,medium,16,2223,1,F,M,0.505
10574,F,Ship,3,1,174,3,low,9,4380,1,F,F,0.48
10006,B,Flight,3,1,199,3,high,3,5127,0,M,M,0.645
1055,C,Ship,2,4,191,3,low,58,2586,1,F,F,0.485
9314,F,Flight,3,1,174,3,medium,2,4972,0,F,F,0.49
10833,A,Flight,3,1,148,4,low,9,5536,0,M,M,0.655
1657,D,Flight,3,5,156,6,low,65,1308,1,M,M,0.54
7589,C,Ship,3,1,220,4,medium,7,5894,1,M,M,0.505
1401,A,Ship,4,3,247,4,low,16,2362,1,M,F,0.46
7148,F,Ship,6,4,279,4,low,9,1128,0,M,M,0.57
68,F,Ship,3,3,158,3,low,6,1878,1,F,M,0.71
4409,C,Ship,3,3,147,3,low,4,5805,0,M,M,0.51
8753,C,Road,5,1,258,3,high,3,4908,0,M,F,0.455
3340,B,Ship,4,1,272,2,medium,5,5252,0,F,F,0.45
9794,F,Ship,3,4,226,3,low,7,4411,1,F,M,0.545
3716,F,Flight,5,5,165,2,low,3,4005,1,M,M,0.545
10193,C,Ship,6,1,189,2,low,6,1269,0,F,F,0.43
3112,B,Ship,5,4,229,2,medium,44,2419,1,F,F,0.465
6143,C,Road,4,4,207,3,low,10,4533,0,F,F,0.43
958,B,Flight,3,1,265,4,low,50,2249,1,M,M,0.51
5872,B,Road,3,2,178,3,low,5,5686,0,F,F,0.495
9761,C,Ship,3,2,268,4,low,6,4415,0,M,M,0.55
4144,B,Ship,3,4,122,3,high,10,4880,0,F,F,0.49
6979,D,Road,4,2,269,2,medium,2,4013,1,F,F,0.465
152,F,Flight,5,3,98,5,medium,44,1269,1,M,F,0.435
6002,F,Road,4,3,270,5,low,3,1786,1,F,F,0.475
9496,B,Ship,4,3,184,3,low,9,5602,0,F,M,0.71
9194,F,Flight,7,4,264,4,medium,6,1265,0,M,M,0.67
10501,D,Ship,4,1,247,3,low,5,5636,1,M,F,0.49
1754,F,Ship,3,2,184,5,high,26,3336,1,F,M,0.54
4076,F,Ship,2,3,228,3,high,5,4663,0,M,M,0.525
8549,C,Ship,5,2,226,5,medium,5,1323,0,M,M,0.8
9071,C,Ship,3,1,173,2,low,7,4684,0,F,M,0.675
10161,A,Ship,3,1,274,4,medium,4,4057,0,M,M,0.665
4441,D,Ship,3,2,153,3,medium,3,5251,0,F,M,0.655
6790,B,Ship,4,4,207,10,low,1,4602,0,F,M,0.655
4991,C,Ship,2,3,198,2,medium,6,1996,0,F,F,0.37
6840,F,Road,4,5,201,10,low,7,5340,0,F,M,0.515
373,D,Ship,4,5,188,3,low,38,3031,1,M,F,0.395
6239,C,Ship,4,4,268,4,low,5,5647,0,M,M,0.54
5309,C,Ship,3,3,207,3,low,7,4816,1,M,F,0.48
5592,F,Road,2,3,201,3,medium,5,5733,1,M,F,0.48
2945,C,Ship,5,4,273,3,low,60,3384,1,F,F,0.445
3955,D,Road,3,2,269,4,medium,1,5797,0,M,M,0.635
9879,A,Flight,4,2,258,5,medium,2,1494,0,M,M,0.57
8948,F,Ship,4,4,220,3,low,4,5622,0,F,F,0.35
9626,F,Ship,7,4,301,4,low,1,1150,0,F,M,0.64
8698,B,Ship,5,4,252,3,medium,2,4162,0,M,F,0.465
694,B,Flight,3,3,207,7,medium,19,2182,1,M,F,0.37
9425,C,Ship,7,5,256,4,medium,4,1139,1,M,M,0.535
3702,F,Flight,3,1,194,2,low,8,4335,1,M,M,0.555
