ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Gender_M
109,4,5,238,3,55,3257,1,False,False,True,False,False,True,False,False,False
110,4,1,141,3,47,1250,1,False,False,False,True,False,True,False,True,True
111,3,1,158,2,2,1284,1,False,False,False,False,True,False,True,False,True
112,4,2,239,3,65,3679,1,True,False,False,False,True,False,True,False,False
113,4,3,175,2,25,1816,1,False,True,False,False,True,False,True,False,True
114,3,2,263,3,41,2817,1,False,False,False,True,True,False,True,False,True
115,3,5,168,2,50,1616,1,False,False,True,False,True,False,False,False,True
116,3,4,176,3,36,1779,1,False,False,False,True,True,False,False,False,True
117,4,1,150,4,60,1024,1,False,False,False,False,True,False,False,False,True
118,4,3,265,2,31,2326,1,True,False,False,False,True,False,False,True,False
119,2,5,263,3,5,2947,1,False,True,False,False,True,False,True,False,False
120,5,1,145,3,20,1387,1,False,False,False,True,True,False,True,False,True
121,4,2,183,3,33,2741,1,False,False,True,False,True,False,True,False,False
122,3,3,205,3,19,2167,1,False,False,False,True,True,False,False,True,False
123,4,2,160,3,64,1714,1,False,False,False,False,True,False,True,False,True
124,3,3,252,2,48,2102,1,True,False,False,False,True,False,False,True,False
125,5,5,222,3,10,2280,1,False,True,False,False,True,False,True,False,True
126,3,3,203,2,25,3607,1,False,False,False,True,True,False,True,False,True
127,4,5,220,3,40,3516,1,False,False,True,False,True,False,False,True,True
128,3,3,147,4,60,1722,1,False,False,False,True,True,False,True,False,False
129,4,4,200,4,16,2060,1,False,False,False,False,True,False,False,True,True
130,4,5,224,4,21,2026,1,True,False,False,False,True,False,False,True,True
131,3,5,179,2,17,1364,1,False,True,False,False,True,False,True,False,False
132,3,4,144,3,50,1865,1,False,False,False,True,True,False,True,False,True
133,5,2,247,3,17,3889,1,False,False,True,False,False,False,True,False,True
134,5,4,280,6,51,3582,1,False,False,False,True,False,False,False,True,False
135,3,3,168,2,1,1829,1,False,False,False,False,False,False,False,True,False
136,3,5,157,3,4,1889,1,True,False,False,False,False,False,False,True,False
137,3,3,189,4,51,2208,1,False,True,False,False,False,False,False,True,False
138,3,5,162,2,7,1739,1,False,False,False,True,False,False,False,True,True
139,4,1,207,5,48,2399,1,False,False,True,False,False,False,True,False,True
140,5,1,237,2,10,3860,1,False,False,False,True,False,False,True,False,False
141,4,4,264,3,59,2020,1,False,False,False,False,False,False,False,False,True
142,5,4,149,3,51,1645,1,True,False,False,False,False,False,True,False,True
143,5,5,162,3,41,1462,1,False,True,False,False,False,False,True,False,True
144,2,1,205,4,63,2156,1,False,False,False,True,False,False,False,True,False
145,2,1,158,3,51,1540,1,False,False,True,False,False,False,False,True,False
146,2,2,248,2,46,3707,1,False,False,False,True,False,False,True,False,True
147,3,5,191,3,23,3750,1,False,False,False,False,False,False,True,False,True
148,4,3,146,4,24,1844,1,True,False,False,False,False,False,False,True,False
149,3,3,135,3,56,1490,1,False,True,False,False,False,False,True,False,True
150,5,1,149,3,40,1062,1,False,False,False,True,False,False,True,False,True
151,4,4,220,2,7,2551,1,False,False,True,False,False,False,False,True,False
152,5,3,98,5,44,1269,1,False,False,False,True,False,False,False,True,True
153,3,4,97,4,32,1238,1,False,False,False,False,False,False,True,False,True
154,3,3,183,2,53,3932,1,True,False,False,False,False,False,True,False,True
155,3,3,162,3,8,1869,1,False,True,False,False,False,True,False,True,False
156,5,1,114,4,47,1443,1,False,False,False,True,False,True,True,False,False
157,6,3,275,5,41,2491,1,False,False,True,False,False,True,True,False,True
158,3,2,203,2,39,3845,1,False,False,False,True,False,True,False,True,False
159,5,5,205,2,65,3671,1,False,False,False,False,False,True,False,False,True
160,3,3,149,3,63,1946,1,True,False,False,False,False,True,True,False,False
161,2,2,112,4,56,1138,1,False,True,False,False,False,True,False,True,True
162,3,1,207,3,56,3482,1,False,False,False,True,False,True,False,True,False
163,4,1,261,4,58,3427,1,False,False,True,False,False,True,True,False,False
164,5,2,274,3,6,3375,1,False,False,False,True,False,True,False,True,True
165,3,5,141,2,52,1692,1,False,False,False,False,False,True,True,False,True
166,3,3,166,4,17,1498,1,True,False,False,False,False,True,False,True,False
167,5,2,141,3,34,1020,1,False,True,False,False,False,True,False,False,False
168,4,5,152,3,43,1709,1,False,False,False,True,False,True,True,False,True
169,4,2,250,3,53,2478,1,False,False,True,False,False,True,True,False,False
170,4,3,161,3,28,1809,1,False,False,False,True,False,True,False,True,False
171,4,3,185,3,10,2263,1,False,False,False,False,False,True,False,True,False
172,4,4,176,4,52,1096,1,True,False,False,False,False,True,False,False,False
173,3,4,148,3,56,1550,1,False,True,False,False,False,True,True,False,True
174,3,2,270,3,63,2751,1,False,False,False,True,False,True,True,False,False
175,3,3,242,3,51,3935,1,False,False,True,False,False,True,True,False,False
176,4,4,150,2,3,1285,1,False,False,False,True,False,True,False,True,True
177,4,5,192,3,20,3872,1,False,False,False,False,False,True,False,False,True
178,4,5,116,3,54,1314,1,True,False,False,False,False,True,False,True,True
179,3,3,192,3,2,3995,1,False,True,False,False,False,True,False,True,False
180,5,5,255,4,3,3440,1,False,False,False,True,False,True,False,True,True
181,4,1,161,7,18,1294,1,False,False,True,False,False,True,False,True,False
182,4,5,157,3,20,1487,1,False,False,False,True,False,True,True,False,True
183,3,2,164,10,28,1940,1,False,False,False,False,False,True,False,False,False
184,3,5,162,7,16,1052,1,True,False,False,False,False,True,False,True,False
185,3,3,146,2,50,1486,1,False,True,False,False,False,True,True,False,True
186,3,2,209,3,54,3001,1,False,False,False,True,False,True,False,True,True
187,5,4,134,2,55,1386,1,False,False,True,False,False,True,False,True,False
188,2,1,222,2,5,3778,1,False,False,False,True,False,True,False,True,True
189,2,5,139,3,27,1233,1,False,False,False,False,False,True,True,False,False
190,2,4,134,3,42,1415,1,True,False,False,False,False,True,True,False,False
191,2,5,130,3,16,1092,1,False,True,False,False,False,True,True,False,True
192,2,5,133,3,62,1596,1,False,False,False,True,False,True,True,False,False
193,2,4,140,3,7,1411,1,False,False,True,False,False,True,True,False,False
194,2,2,158,3,28,1968,1,False,False,False,True,False,True,True,False,True
195,4,2,270,4,46,1736,1,False,False,False,False,False,True,True,False,False
196,2,5,140,3,30,1030,1,True,False,False,False,False,True,True,False,False
197,2,2,135,3,15,1339,1,False,True,False,False,False,True,True,False,True
198,2,3,136,3,19,1568,1,False,False,False,True,False,True,True,False,False
199,2,3,142,3,38,7640,1,False,False,True,False,False,True,False,True,False
200,2,2,154,3,38,7846,1,False,False,False,True,False,True,False,True,True
201,2,3,139,3,9,1471,1,False,False,False,False,False,True,True,False,True
202,2,3,160,3,43,1251,1,True,False,False,False,False,True,True,False,False
203,2,4,134,3,58,1067,1,False,True,False,False,False,True,True,False,True
204,5,3,161,5,48,1883,1,False,False,False,True,False,True,False,False,True
205,2,5,155,3,23,1602,1,False,False,True,False,False,True,True,False,True
206,2,3,145,3,24,7588,1,False,False,False,True,False,True,False,True,False
207,2,2,157,3,1,1477,1,False,False,False,False,False,True,True,False,True
208,2,2,160,3,48,1691,1,True,False,False,False,False,True,True,False,True
209,2,4,152,3,55,1498,1,False,True,False,False,False,True,True,False,True
210,2,5,148,3,11,1502,1,False,False,False,True,False,True,False,False,False
211,2,1,127,3,15,1522,1,False,False,True,False,False,True,True,False,False
212,2,5,154,3,21,1113,1,False,False,False,True,False,True,True,False,False
213,2,5,127,3,44,1341,1,False,False,False,False,False,True,True,False,True
214,2,5,160,3,31,7401,1,True,False,False,False,False,True,False,True,False
215,2,4,129,3,48,1219,1,False,True,False,False,False,True,True,False,False
216,2,5,158,3,40,1722,1,False,False,False,True,False,True,True,False,False
217,4,3,185,3,3,3131,1,False,False,True,False,False,True,False,True,True
218,4,4,176,4,63,1293,1,False,False,False,True,False,True,False,False,False
219,3,4,148,3,37,1523,1,False,False,False,False,False,True,True,False,True
220,3,5,270,3,60,3885,1,True,False,False,False,False,True,True,False,True
221,3,4,242,3,29,2381,1,False,True,False,False,False,True,True,False,True
222,4,3,150,2,31,1588,1,False,False,False,True,False,True,False,True,True
223,4,2,192,3,4,2061,1,False,False,True,False,False,True,False,False,True
224,4,5,116,3,9,1314,1,False,False,False,True,False,True,False,True,False
225,3,4,192,3,31,3331,1,False,False,False,False,False,True,False,True,False
226,5,4,255,4,38,2771,1,True,False,False,False,False,True,False,True,False
227,4,3,161,7,63,1496,1,False,True,False,False,False,True,False,True,True
228,4,2,157,3,48,1393,1,False,False,False,True,False,True,True,False,False
229,3,2,164,10,14,1375,1,False,False,True,False,False,True,False,False,True
230,3,3,162,7,42,1278,1,False,False,False,True,False,True,False,True,False
231,3,1,146,2,54,1528,1,False,False,False,False,False,True,True,False,False
232,3,4,209,3,60,2240,1,True,False,False,False,False,True,False,True,False
233,5,5,134,2,53,1088,1,False,True,False,False,False,True,False,True,True
234,2,1,222,2,58,3626,1,False,False,False,True,False,True,False,True,True
235,2,1,139,3,39,1582,1,False,False,True,False,False,True,True,False,False
236,2,2,134,3,38,1352,1,False,False,False,True,False,True,True,False,True
237,2,3,130,3,48,1801,1,False,False,False,False,False,True,True,False,False
238,2,2,133,3,5,1268,1,True,False,False,False,False,True,True,False,True
239,2,3,140,3,23,1372,1,False,True,False,False,False,True,True,False,False
240,2,3,158,3,10,1515,1,False,False,False,True,False,True,True,False,True
241,4,5,270,4,65,1818,1,False,False,True,False,False,True,True,False,True
242,2,4,140,3,33,1278,1,False,False,False,True,False,True,True,False,False
243,2,2,135,3,58,1734,1,False,False,False,False,False,True,True,False,True
244,2,4,136,3,43,1958,1,True,False,False,False,False,True,True,False,True
245,2,1,142,3,8,6064,1,False,True,False,False,False,True,False,True,False
246,2,4,154,3,48,7684,1,False,False,False,True,False,True,False,True,False
247,2,3,139,3,3,1788,1,False,False,True,False,False,True,True,False,False
248,2,4,160,3,50,1030,1,False,False,False,True,True,False,True,False,False
249,2,2,134,3,38,1530,1,False,False,False,False,True,False,True,False,False
250,5,5,161,5,54,1511,1,True,False,False,False,True,False,False,False,False
251,2,3,155,3,45,1639,1,False,True,False,False,True,False,True,False,False
252,2,2,145,3,5,6102,1,False,False,False,True,True,False,False,True,False
253,2,1,157,3,58,1930,1,False,False,True,False,True,False,True,False,True
254,2,5,160,3,19,1399,1,False,False,False,True,True,False,True,False,False
255,2,2,152,3,61,1800,1,False,False,False,False,True,False,True,False,False
256,2,2,148,3,35,1349,1,True,False,False,False,True,False,False,False,False
257,2,2,127,3,13,1128,1,False,True,False,False,True,False,True,False,True
258,2,2,129,3,22,6614,1,False,False,False,True,True,False,False,True,False
259,2,3,158,3,13,1245,1,False,False,True,False,True,False,True,False,False
260,2,4,147,3,5,1920,1,False,False,False,True,True,False,True,False,True
261,2,5,159,3,49,1621,1,False,False,False,False,True,False,True,False,False
262,2,3,151,3,23,1930,1,True,False,False,False,True,False,True,False,False
263,3,1,294,4,52,1089,1,False,True,False,False,True,False,True,False,False
264,3,2,226,2,45,1446,1,False,False,False,True,True,False,False,True,True
265,5,3,271,5,9,1813,1,False,False,True,False,True,False,False,False,True
266,7,2,203,5,61,1856,1,False,False,False,True,True,False,False,True,False
267,2,3,264,4,10,1648,1,False,False,False,False,True,False,True,False,False
268,4,1,258,3,36,2211,1,True,False,False,False,True,False,False,True,True
269,3,5,241,3,21,3078,1,False,True,False,False,True,False,True,False,False
270,4,5,208,3,23,2056,1,False,False,False,True,False,False,False,True,True
271,3,2,209,5,12,3054,1,False,False,True,False,False,False,False,True,False
272,5,1,182,2,23,2707,1,False,False,False,True,False,False,False,True,False
273,4,5,148,2,43,1087,1,False,False,False,False,False,False,False,True,False
274,2,3,183,2,52,3199,1,True,False,False,False,False,False,False,True,False
275,3,5,229,6,22,2717,1,False,True,False,False,False,False,False,True,True
276,5,5,115,5,26,1692,1,False,False,False,True,False,False,True,False,False
277,4,2,136,3,65,1962,1,False,False,True,False,False,False,True,False,False
278,4,4,212,3,21,3307,1,False,False,False,True,False,False,True,False,True
279,4,3,171,3,24,1304,1,False,False,False,False,False,False,True,False,False
280,3,1,151,2,60,1925,1,True,False,False,False,False,False,True,False,True
281,3,1,205,3,39,3062,1,False,True,False,False,False,False,False,True,True
282,5,4,147,3,23,1132,1,False,False,False,True,False,False,False,True,True
283,3,3,155,3,29,1712,1,False,False,True,False,False,False,True,False,False
284,5,4,165,3,20,1150,1,False,False,False,True,False,False,True,False,False
285,5,5,230,3,32,3249,1,False,False,False,False,False,False,True,False,False
286,2,4,181,4,13,2309,1,True,False,False,False,False,False,False,True,True
287,5,3,234,2,55,3308,1,False,True,False,False,False,False,True,False,False
288,4,4,149,3,34,1977,1,False,False,False,True,False,False,True,False,True
289,5,5,156,2,44,1561,1,False,False,True,False,False,False,True,False,True
290,4,2,172,3,59,1858,1,False,False,False,True,False,False,False,True,False
291,4,4,270,3,12,3279,1,False,False,False,False,False,False,True,False,True
292,4,1,206,3,23,3807,1,True,False,False,False,False,True,False,True,True
293,4,3,211,4,40,3106,1,False,True,False,False,False,True,False,True,True
294,3,2,136,4,62,1090,1,False,False,False,True,False,True,True,False,True
295,5,1,186,2,52,3981,1,False,False,True,False,False,True,False,False,False
296,3,1,202,2,62,3398,1,False,False,False,True,False,True,False,True,True
297,4,2,183,3,12,3646,1,False,False,False,False,False,True,False,True,False
298,4,4,232,2,36,2861,1,True,False,False,False,False,True,True,False,True
299,4,2,147,4,52,1129,1,False,True,False,False,False,True,False,True,True
300,4,3,136,3,20,1531,1,False,False,False,True,False,True,False,True,True
301,5,3,127,3,43,1446,1,False,False,True,False,False,True,True,False,False
302,4,5,202,2,35,3695,1,False,False,False,True,False,True,False,True,True
303,3,4,241,2,57,3671,1,False,False,False,False,False,True,True,False,True
304,4,3,222,2,55,3833,1,True,False,False,False,False,True,False,True,True
305,3,2,183,4,12,2777,1,False,True,False,False,False,True,False,True,False
306,4,4,249,3,36,3769,1,False,False,False,True,False,True,False,True,False
307,3,1,243,4,59,3838,1,False,False,True,False,False,True,False,False,True
308,3,3,163,3,9,1257,1,False,False,False,True,False,True,False,True,True
309,4,2,165,2,11,1596,1,False,False,False,False,False,True,False,False,True
310,5,5,266,3,53,3089,1,True,False,False,False,False,True,False,True,False
311,3,4,193,2,48,3909,1,False,True,False,False,False,True,False,True,True
312,3,2,154,3,56,1136,1,False,False,False,True,False,True,True,False,False
313,3,3,140,3,51,1046,1,False,False,True,False,False,True,False,True,True
314,4,3,272,3,38,3705,1,False,False,False,True,False,True,False,True,True
315,4,2,143,6,20,1654,1,False,False,False,False,False,True,False,True,True
316,4,2,138,3,30,1805,1,True,False,False,False,False,True,True,False,False
317,4,2,238,2,17,3358,1,False,True,False,False,False,True,False,False,True
318,4,5,273,4,31,2373,1,False,False,False,True,False,True,False,True,False
319,3,1,200,2,27,2551,1,False,False,True,False,False,True,False,True,True
320,4,5,213,4,39,2381,1,False,False,False,True,False,True,True,False,True
321,3,4,224,2,15,2701,1,False,False,False,False,False,True,False,True,False
322,4,5,141,3,12,1672,1,True,False,False,False,False,True,False,True,True
323,3,3,150,3,46,1040,1,False,True,False,False,False,True,True,False,True
324,3,1,192,2,33,2818,1,False,False,False,True,False,True,True,False,True
325,5,1,279,4,24,3440,1,False,False,True,False,False,True,False,True,False
326,3,4,246,3,30,3748,1,False,False,False,True,False,True,False,True,True
327,3,4,173,3,52,1587,1,False,False,False,False,False,True,False,True,True
328,4,4,233,4,59,2358,1,True,False,False,False,False,True,False,True,False
329,5,1,274,2,24,2423,1,False,True,False,False,False,True,False,True,True
330,4,5,243,4,41,2782,1,False,False,False,True,False,True,False,True,False
331,3,4,197,3,56,3427,1,False,False,True,False,False,True,False,True,False
332,4,3,140,3,46,1072,1,False,False,False,True,False,True,False,False,False
333,3,5,215,3,22,2585,1,False,False,False,False,False,True,False,True,False
334,3,4,211,3,8,3710,1,True,False,False,False,False,True,False,True,True
335,4,2,220,5,33,2854,1,False,True,False,False,False,True,True,False,True
336,3,1,194,4,64,2026,1,False,False,False,True,False,True,True,False,True
337,5,1,262,3,58,3599,1,False,False,True,False,False,True,False,True,False
338,4,4,201,2,1,3147,1,False,False,False,True,False,True,True,False,False
339,3,5,261,3,15,2989,1,False,False,False,False,False,True,False,True,True
340,4,4,191,6,60,3425,1,True,False,False,False,False,True,True,False,False
341,2,5,255,5,53,3775,1,False,True,False,False,False,True,False,True,False
342,3,2,169,2,30,1698,1,False,False,False,True,False,True,False,False,True
343,4,5,162,2,64,1918,1,False,False,True,False,False,True,False,True,True
344,2,5,248,6,62,2750,1,False,False,False,True,False,True,True,False,False
345,5,3,197,4,2,2222,1,False,False,False,False,False,True,True,False,False
346,5,1,264,3,6,2882,1,True,False,False,False,False,True,True,False,True
347,5,5,260,2,55,2791,1,False,True,False,False,False,True,False,True,False
348,5,3,186,2,58,2259,1,False,False,False,True,False,True,False,True,False
349,4,5,233,4,44,2551,1,False,False,True,False,False,True,True,False,False
350,5,1,161,3,47,1954,1,False,False,False,True,False,True,True,False,True
351,4,5,188,3,13,2409,1,False,False,False,False,False,True,True,False,False
352,5,5,171,2,22,1695,1,True,False,False,False,False,True,False,True,False
353,2,2,267,3,15,2481,1,False,True,False,False,False,True,False,True,True
354,4,3,255,2,47,2956,1,False,False,False,True,False,True,False,False,True
355,3,2,132,3,56,1303,1,False,False,True,False,False,True,True,False,False
356,5,1,266,3,31,3157,1,False,False,False,True,False,True,True,False,False
357,3,4,198,2,25,2774,1,False,False,False,False,False,True,True,False,True
358,2,3,247,2,62,3127,1,True,False,False,False,False,True,False,True,False
359,3,1,140,3,65,1291,1,False,True,False,False,False,True,False,True,False
360,4,3,131,5,6,1659,1,False,False,False,True,False,True,True,False,True
361,5,2,246,3,49,3236,1,False,False,True,False,False,True,False,True,True
362,3,2,159,3,4,1681,1,False,False,False,True,False,True,False,True,False
363,3,5,203,2,61,3642,1,False,False,False,False,False,True,False,True,True
364,4,3,187,4,29,3141,1,True,False,False,False,False,True,False,False,False
365,6,2,146,3,62,1936,1,False,True,False,False,False,True,True,False,False
366,3,2,234,3,39,2099,1,False,False,False,True,False,True,False,True,True
367,3,4,122,3,15,1354,1,False,False,True,False,False,True,False,False,False
368,3,3,135,3,8,1074,1,False,False,False,True,False,True,True,False,True
369,3,5,103,3,3,1403,1,False,False,False,False,False,True,True,False,True
370,3,5,257,3,19,2173,1,True,False,False,False,False,True,False,True,False
371,4,3,169,2,2,1399,1,False,True,False,False,False,True,True,False,True
372,4,5,159,3,18,1808,1,False,False,False,True,False,True,False,True,True
373,4,5,188,3,38,3031,1,False,False,True,False,False,True,True,False,True
374,5,1,136,3,19,1420,1,False,False,False,True,False,True,False,True,True
375,5,1,227,3,19,3007,1,False,False,False,False,False,True,True,False,False
376,3,5,262,2,53,3275,1,True,False,False,False,False,True,True,False,False
377,2,3,157,2,45,1965,1,False,True,False,False,False,True,True,False,True
378,5,3,238,2,21,2053,1,False,False,False,True,False,True,False,True,False
379,3,5,152,3,43,1282,1,False,False,True,False,False,True,True,False,True
380,3,2,201,3,5,2040,1,False,False,False,True,False,True,False,True,True
381,3,4,148,2,54,1778,1,False,False,False,False,False,True,True,False,True
382,5,2,199,4,59,2885,1,True,False,False,False,False,True,True,False,False
383,5,4,215,2,45,3501,1,False,True,False,False,False,True,True,False,False
384,4,5,175,2,40,1270,1,False,False,False,True,False,True,True,False,True
385,4,3,236,2,23,3123,1,False,False,True,False,True,False,False,False,True
386,2,5,182,2,57,2896,1,False,False,False,True,True,False,False,True,False
387,3,1,251,3,42,3698,1,False,False,False,False,True,False,False,True,True
388,5,2,173,3,7,1855,1,True,False,False,False,True,False,True,False,False
389,4,3,225,3,62,2587,1,False,True,False,False,True,False,True,False,False
390,4,2,167,4,20,1705,1,False,False,False,True,True,False,True,False,False
